period,state,state_description,coal_capability,coal_capability_change,coal_percent_share,total_capability
2009,MN,Minnesota,4825.5,-409.7,0.137,35177.8
2010,MN,Minnesota,4788.5,-37.0,0.136,35155.1
2011,MN,Minnesota,4709.5,-79.0,0.131,36016.7
2012,MN,Minnesota,4696.5,-13.0,0.127,36942.5
2013,MN,Minnesota,4822.3,125.8,0.129,37294.1
2014,MN,Minnesota,4788.1,-34.2,0.129,37039.9
2015,MN,Minnesota,4300.1,-488.0,0.115,37350.5
2016,MN,Minnesota,4308.5,8.4,0.113,38005.0
2017,MN,Minnesota,4309.4,0.9,0.11,39353.0
2018,MN,Minnesota,4157.9,-151.5,0.102,40630.9
2019,MN,Minnesota,4180.5,22.6,0.1,41850.5
2020,MN,Minnesota,4147.1,-33.4,0.096,43147.5
2021,MN,Minnesota,4009.1,-138.0,0.091,43937.6
2022,MN,Minnesota,3978.6,-30.5,0.09,44364.7
2023,MN,Minnesota,3141.7,-836.9,0.073,43246.7
2024,MN,Minnesota,3135.5,-6.2,0.071,44388.2
1990,MO,Missouri,10830.0,,0.354,30570.0
1991,MO,Missouri,10880.0,50.0,0.353,30843.0
1992,MO,Missouri,10897.0,17.0,0.351,31032.0
1993,MO,Missouri,10897.0,0.0,0.351,31080.0
1994,MO,Missouri,10908.0,11.0,0.35,31203.0
1995,MO,Missouri,10671.0,-237.0,0.337,31670.0
1996,MO,Missouri,10653.0,-18.0,0.331,32179.0
1997,MO,Missouri,11014.0,361.0,0.337,32641.0
1998,MO,Missouri,11036.0,22.0,0.337,32779.0
1999,MO,Missouri,10982.0,-54.0,0.326,33726.0
2000,MO,Missouri,11125.0,143.0,0.322,34574.0
2001,MO,Missouri,11127.0,2.0,0.286,38847.0
2002,MO,Missouri,11148.0,21.0,0.281,39606.0
2003,MO,Missouri,11267.0,119.0,0.282,39953.0
2004,MO,Missouri,11257.0,-10.0,0.279,40320.0
2005,MO,Missouri,11273.0,16.0,0.275,41066.0
2006,MO,Missouri,11299.0,26.0,0.274,41198.0
2007,MO,Missouri,11259.0,-40.0,0.274,41116.0
2008,MO,Missouri,11240.0,-19.0,0.233,48298.2
2009,MO,Missouri,11231.0,-9.0,0.231,48527.1
2010,MO,Missouri,12070.1,839.1,0.24,50268.0
2011,MO,Missouri,12424.7,354.6,0.244,50865.4
2012,MO,Missouri,12457.5,32.8,0.246,50668.5
2013,MO,Missouri,12332.9,-124.6,0.246,50179.1
2014,MO,Missouri,12326.6,-6.3,0.246,50148.1
2015,MO,Missouri,12156.5,-170.1,0.242,50266.2
2016,MO,Missouri,11726.1,-430.4,0.234,50215.2
2017,MO,Missouri,11260.8,-465.3,0.222,50796.5
2018,MO,Missouri,10470.9,-789.9,0.212,49397.6
2019,MO,Missouri,10464.5,-6.4,0.212,49329.3
2020,MO,Missouri,10488.0,23.5,0.205,51042.7
2021,MO,Missouri,10242.2,-245.8,0.202,50671.2
2022,MO,Missouri,9656.2,-586.0,0.197,48941.5
2023,MO,Missouri,9714.2,58.0,0.198,49017.3
2024,MO,Missouri,8539.2,-1175.0,0.178,47914.4
1990,MS,Mississippi,2244.0,,0.156,14389.0
1991,MS,Mississippi,2246.0,2.0,0.156,14389.0
1992,MS,Mississippi,2238.0,-8.0,0.153,14666.0
1993,MS,Mississippi,2238.0,0.0,0.153,14668.0
1994,MS,Mississippi,2228.0,-10.0,0.15,14808.0
1995,MS,Mississippi,2255.0,27.0,0.15,15073.0
1996,MS,Mississippi,2255.0,0.0,0.149,15123.0
1997,MS,Mississippi,2131.0,-124.0,0.141,15083.0
1998,MS,Mississippi,2136.0,5.0,0.142,15077.0
1999,MS,Mississippi,2121.0,-15.0,0.131,16166.0
2000,MS,Mississippi,2208.0,87.0,0.122,18030.0
2001,MS,Mississippi,2208.0,0.0,0.102,21568.0
2002,MS,Mississippi,2665.0,457.0,0.1,26782.0
2003,MS,Mississippi,2671.0,6.0,0.08,33320.0
2004,MS,Mississippi,2660.0,-11.0,0.079,33486.0
2005,MS,Mississippi,2563.0,-97.0,0.076,33770.0
2006,MS,Mississippi,2548.0,-15.0,0.077,33240.0
2007,MS,Mississippi,2542.0,-6.0,0.078,32408.0
2008,MS,Mississippi,2554.9,12.9,0.058,43792.2
2009,MS,Mississippi,2554.9,0.0,0.059,43419.8
2010,MS,Mississippi,2526.0,-28.9,0.059,43054.9
2011,MS,Mississippi,2526.0,0.0,0.059,42673.7
2012,MS,Mississippi,2526.0,0.0,0.06,42252.7
2013,MS,Mississippi,2526.0,0.0,0.06,42314.6
2014,MS,Mississippi,2526.0,0.0,0.058,43902.0
2015,MS,Mississippi,1820.0,-706.0,0.041,44756.4
2016,MS,Mississippi,1820.0,0.0,0.041,44377.5
2017,MS,Mississippi,1804.0,-16.0,0.041,44001.7
2018,MS,Mississippi,1444.0,-360.0,0.035,41050.5
2019,MS,Mississippi,1444.0,0.0,0.036,40473.6
2020,MS,Mississippi,1444.0,0.0,0.036,40660.8
2021,MS,Mississippi,1444.0,0.0,0.035,40748.0
2022,MS,Mississippi,1444.0,0.0,0.035,41022.2
2023,MS,Mississippi,1444.0,0.0,0.035,41366.7
2024,MS,Mississippi,1444.0,0.0,0.032,44509.2
1990,MT,Montana,2299.0,,0.231,9946.0
1991,MT,Montana,2299.0,0.0,0.235,9779.0
1992,MT,Montana,2299.0,0.0,0.233,9863.0
1993,MT,Montana,2299.0,0.0,0.233,9863.0
1994,MT,Montana,2299.0,0.0,0.231,9935.0
1995,MT,Montana,2299.0,0.0,0.227,10129.0
1996,MT,Montana,2299.0,0.0,0.227,10130.0
1997,MT,Montana,2333.0,34.0,0.23,10128.0
1998,MT,Montana,2339.0,6.0,0.231,10131.0
1999,MT,Montana,3013.0,674.0,0.257,11744.0
2000,MT,Montana,2987.0,-26.0,0.255,11708.0
2001,MT,Montana,2335.0,-652.0,0.227,10284.0
2002,MT,Montana,2296.0,-39.0,0.222,10353.0
2003,MT,Montana,2300.0,4.0,0.221,10420.0
2004,MT,Montana,2335.0,35.0,0.227,10264.0
2005,MT,Montana,2339.0,4.0,0.222,10535.0
2006,MT,Montana,2460.0,121.0,0.226,10874.0
2007,MT,Montana,2458.0,-2.0,0.224,10958.0
2008,MT,Montana,2442.3,-15.7,0.214,11438.7
2009,MT,Montana,2442.3,0.0,0.207,11770.4
2010,MT,Montana,2442.3,0.0,0.203,12025.7
2011,MT,Montana,2442.1,-0.2,0.196,12469.6
2012,MT,Montana,2442.1,0.0,0.186,13104.3
2013,MT,Montana,2442.1,0.0,0.186,13126.5
2014,MT,Montana,2419.1,-23.0,0.184,13128.1
2015,MT,Montana,2293.1,-126.0,0.179,12788.2
2016,MT,Montana,2293.1,0.0,0.178,12873.2
2017,MT,Montana,2293.1,0.0,0.177,12924.2
2018,MT,Montana,2297.6,4.5,0.174,13175.0
2019,MT,Montana,2297.6,0.0,0.174,13203.2
2020,MT,Montana,1683.6,-614.0,0.138,12189.0
2021,MT,Montana,1630.5,-53.1,0.13,12590.6
2022,MT,Montana,1630.5,0.0,0.122,13334.6
2023,MT,Montana,1626.5,-4.0,0.116,14012.8
2024,MT,Montana,1626.5,0.0,0.107,15149.6
1990,NC,North Carolina,13049.0,,0.308,42318.0
1991,NC,North Carolina,13078.0,29.0,0.31,42253.0
1992,NC,North Carolina,13169.0,91.0,0.31,42449.0
1993,NC,North Carolina,13185.0,16.0,0.311,42434.0
1994,NC,North Carolina,13356.0,171.0,0.312,42816.0
1995,NC,North Carolina,13405.0,49.0,0.299,44788.0
1996,NC,North Carolina,13401.0,-4.0,0.294,45545.0
1997,NC,North Carolina,13352.0,-49.0,0.292,45674.0
1998,NC,North Carolina,13266.0,-86.0,0.29,45683.0
1999,NC,North Carolina,13264.0,-2.0,0.289,45949.0
2000,NC,North Carolina,13365.0,101.0,0.273,48960.0
2001,NC,North Carolina,13322.0,-43.0,0.255,52153.0
2002,NC,North Carolina,13268.0,-54.0,0.246,53840.0
2003,NC,North Carolina,13268.0,0.0,0.241,55139.0
2004,NC,North Carolina,13226.0,-42.0,0.241,54844.0
2005,NC,North Carolina,13196.0,-30.0,0.243,54214.0
2006,NC,North Carolina,13113.0,-83.0,0.242,54122.0
2007,NC,North Carolina,13068.0,-45.0,0.236,55290.0
2008,NC,North Carolina,13068.8,0.8,0.209,62627.2
2009,NC,North Carolina,12951.8,-117.0,0.207,62516.9
2010,NC,North Carolina,12765.8,-186.0,0.204,62697.5
2011,NC,North Carolina,12250.8,-515.0,0.187,65531.9
2012,NC,North Carolina,12104.8,-146.0,0.169,71429.7
2013,NC,North Carolina,10794.8,-1310.0,0.151,71573.3
2014,NC,North Carolina,10832.8,38.0,0.149,72844.6
2015,NC,North Carolina,10802.8,-30.0,0.144,75275.9
2016,NC,North Carolina,10745.8,-57.0,0.138,78095.3
2017,NC,North Carolina,10536.8,-209.0,0.131,80534.9
2018,NC,North Carolina,10504.8,-32.0,0.125,83970.0
2019,NC,North Carolina,10389.2,-115.6,0.121,86124.8
2020,NC,North Carolina,9935.7,-453.5,0.114,87364.1
2021,NC,North Carolina,9258.7,-677.0,0.105,87833.3
2022,NC,North Carolina,4594.0,-4664.7,0.049,93600.2
2023,NC,North Carolina,4552.0,-42.0,0.048,95091.0
2024,NC,North Carolina,5561.0,1009.0,0.058,95203.1
1990,ND,North Dakota,3847.0,,0.427,9010.0
1991,ND,North Dakota,3874.0,27.0,0.428,9045.0
1992,ND,North Dakota,3874.0,0.0,0.43,9009.0
1993,ND,North Dakota,3874.0,0.0,0.43,9009.0
1994,ND,North Dakota,3885.0,11.0,0.429,9050.0
1995,ND,North Dakota,3880.0,-5.0,0.429,9041.0
1996,ND,North Dakota,3603.0,-277.0,0.425,8486.0
1997,ND,North Dakota,4080.0,477.0,0.428,9537.0
1998,ND,North Dakota,4086.0,6.0,0.435,9384.0
1999,ND,North Dakota,4103.0,17.0,0.436,9421.0
2000,ND,North Dakota,4127.0,24.0,0.438,9431.0
2001,ND,North Dakota,4128.0,1.0,0.438,9434.0
2002,ND,North Dakota,4105.0,-23.0,0.437,9398.0
2003,ND,North Dakota,4129.0,24.0,0.443,9324.0
2004,ND,North Dakota,4126.0,-3.0,0.432,9548.0
2005,ND,North Dakota,4127.0,1.0,0.434,9516.0
2006,ND,North Dakota,4127.0,0.0,0.426,9678.0
2007,ND,North Dakota,4119.0,-8.0,0.405,10182.0
2008,ND,North Dakota,4119.2,0.2,0.373,11052.3
2009,ND,North Dakota,4148.3,29.1,0.346,12006.2
2010,ND,North Dakota,4152.7,4.4,0.333,12457.2
2011,ND,North Dakota,4147.3,-5.4,0.333,12449.4
2012,ND,North Dakota,4141.1,-6.2,0.318,13039.4
2013,ND,North Dakota,4128.4,-12.7,0.311,13276.0
2014,ND,North Dakota,4184.6,56.2,0.301,13892.4
2015,ND,North Dakota,4214.4,29.8,0.279,15117.3
2016,ND,North Dakota,4222.5,8.1,0.259,16330.3
2017,ND,North Dakota,4042.4,-180.1,0.237,17052.2
2018,ND,North Dakota,4042.4,0.0,0.233,17343.8
2019,ND,North Dakota,3948.8,-93.6,0.22,17954.2
2020,ND,North Dakota,3948.8,0.0,0.207,19051.7
2021,ND,North Dakota,4018.5,69.7,0.205,19629.4
2022,ND,North Dakota,3931.4,-87.1,0.202,19438.8
2023,ND,North Dakota,3832.5,-98.9,0.196,19520.2
2024,ND,North Dakota,3831.9,-0.6,0.19,20171.4
1990,NE,Nebraska,3102.0,,0.277,11187.0
1991,NE,Nebraska,3095.0,-7.0,0.277,11182.0
1992,NE,Nebraska,3111.0,16.0,0.276,11292.0
1993,NE,Nebraska,3111.0,0.0,0.275,11308.0
1994,NE,Nebraska,3120.0,9.0,0.276,11318.0
1995,NE,Nebraska,3122.0,2.0,0.275,11345.0
1996,NE,Nebraska,3119.0,-3.0,0.27,11548.0
1997,NE,Nebraska,3159.0,40.0,0.267,11812.0
1998,NE,Nebraska,3176.0,17.0,0.266,11923.0
1999,NE,Nebraska,3189.0,13.0,0.267,11962.0
2000,NE,Nebraska,3189.0,0.0,0.263,12121.0
2001,NE,Nebraska,3189.0,0.0,0.26,12261.0
2002,NE,Nebraska,3204.0,15.0,0.26,12343.0
2003,NE,Nebraska,3204.0,0.0,0.24,13368.0
2004,NE,Nebraska,3204.0,0.0,0.238,13476.0
2005,NE,Nebraska,3204.0,0.0,0.228,14046.0
2006,NE,Nebraska,3204.0,0.0,0.227,14142.0
2007,NE,Nebraska,3204.0,0.0,0.23,13942.0
2008,NE,Nebraska,3203.7,-0.3,0.197,16302.9
2009,NE,Nebraska,3871.2,667.5,0.218,17787.6
2010,NE,Nebraska,3932.2,61.0,0.219,17950.2
2011,NE,Nebraska,4160.2,228.0,0.225,18495.1
2012,NE,Nebraska,4145.7,-14.5,0.222,18687.4
2013,NE,Nebraska,4170.5,24.8,0.218,19111.6
2014,NE,Nebraska,4167.9,-2.6,0.212,19681.3
2015,NE,Nebraska,4016.0,-151.9,0.206,19537.3
2016,NE,Nebraska,3817.3,-198.7,0.196,19433.5
2017,NE,Nebraska,3817.3,0.0,0.194,19632.7
2018,NE,Nebraska,3867.0,49.7,0.19,20320.6
2019,NE,Nebraska,3867.0,0.0,0.182,21284.2
2020,NE,Nebraska,3867.0,0.0,0.176,22031.2
2021,NE,Nebraska,3867.0,0.0,0.169,22876.1
2022,NE,Nebraska,3845.6,-21.4,0.16,23967.0
2023,NE,Nebraska,3825.8,-19.8,0.16,23930.0
2024,NE,Nebraska,3817.9,-7.9,0.158,24203.6
1990,NH,New Hampshire,622.0,,0.101,6180.0
1991,NH,New Hampshire,622.0,0.0,0.102,6081.0
1992,NH,New Hampshire,578.0,-44.0,0.098,5909.0
1993,NH,New Hampshire,578.0,0.0,0.098,5912.0
1994,NH,New Hampshire,578.0,0.0,0.098,5889.0
1995,NH,New Hampshire,578.0,0.0,0.098,5888.0
1996,NH,New Hampshire,578.0,0.0,0.098,5919.0
1997,NH,New Hampshire,578.0,0.0,0.096,6017.0
1998,NH,New Hampshire,578.0,0.0,0.101,5695.0
1999,NH,New Hampshire,578.0,0.0,0.101,5702.0
2000,NH,New Hampshire,575.0,-3.0,0.101,5712.0
2001,NH,New Hampshire,575.0,0.0,0.101,5685.0
2002,NH,New Hampshire,575.0,0.0,0.084,6853.0
2003,NH,New Hampshire,575.0,0.0,0.068,8464.0
2004,NH,New Hampshire,575.0,0.0,0.068,8517.0
2005,NH,New Hampshire,575.0,0.0,0.067,8641.0
2006,NH,New Hampshire,528.0,-47.0,0.061,8679.0
2007,NH,New Hampshire,528.0,0.0,0.062,8560.0
2008,NH,New Hampshire,527.9,-0.1,0.052,10055.7
2009,NH,New Hampshire,527.9,0.0,0.053,10027.4
2010,NH,New Hampshire,546.3,18.4,0.054,10075.4
2011,NH,New Hampshire,546.3,0.0,0.054,10053.4
2012,NH,New Hampshire,533.9,-12.4,0.052,10325.0
2013,NH,New Hampshire,533.9,0.0,0.051,10529.6
2014,NH,New Hampshire,533.9,0.0,0.051,10539.4
2015,NH,New Hampshire,533.9,0.0,0.05,10612.4
2016,NH,New Hampshire,533.9,0.0,0.05,10623.7
2017,NH,New Hampshire,533.9,0.0,0.05,10610.8
2018,NH,New Hampshire,533.9,0.0,0.05,10694.8
2019,NH,New Hampshire,533.9,0.0,0.05,10750.4
2020,NH,New Hampshire,533.9,0.0,0.05,10693.9
2021,NH,New Hampshire,533.9,0.0,0.05,10664.1
2022,NH,New Hampshire,533.9,0.0,0.05,10664.1
2023,NH,New Hampshire,533.9,0.0,0.05,10662.3
2024,NH,New Hampshire,533.9,0.0,0.05,10669.5
1990,NJ,New Jersey,1652.0,,0.057,28910.0
1991,NJ,New Jersey,1652.0,0.0,0.055,29901.0
1992,NJ,New Jersey,1644.0,-8.0,0.052,31677.0
1993,NJ,New Jersey,1906.0,262.0,0.058,32756.0
1994,NJ,New Jersey,2117.0,211.0,0.064,33112.0
1995,NJ,New Jersey,2112.0,-5.0,0.063,33767.0
1996,NJ,New Jersey,2112.0,0.0,0.063,33657.0
1997,NJ,New Jersey,2118.0,6.0,0.063,33711.0
1998,NJ,New Jersey,2141.0,23.0,0.064,33245.0
1999,NJ,New Jersey,2126.0,-15.0,0.064,33085.0
2000,NJ,New Jersey,2008.0,-118.0,0.061,32658.0
2001,NJ,New Jersey,2088.0,80.0,0.063,33374.0
2002,NJ,New Jersey,2124.0,36.0,0.058,36760.0
2003,NJ,New Jersey,2124.0,0.0,0.058,36642.0
2004,NJ,New Jersey,2124.0,0.0,0.058,36323.0
2005,NJ,New Jersey,2077.0,-47.0,0.059,35072.0
2006,NJ,New Jersey,2124.0,47.0,0.056,37942.0
2007,NJ,New Jersey,2054.0,-70.0,0.056,36704.0
2008,NJ,New Jersey,2054.0,0.0,0.042,48693.0
2009,NJ,New Jersey,2064.5,10.5,0.042,48661.3
2010,NJ,New Jersey,2036.4,-28.1,0.042,48425.2
2011,NJ,New Jersey,2000.9,-35.5,0.041,48374.4
2012,NJ,New Jersey,2006.6,5.7,0.04,50011.6
2013,NJ,New Jersey,1988.8,-17.8,0.04,50224.7
2014,NJ,New Jersey,1870.0,-118.8,0.036,51533.8
2015,NJ,New Jersey,1245.0,-625.0,0.025,50245.1
2016,NJ,New Jersey,1245.0,0.0,0.025,50669.3
2017,NJ,New Jersey,609.0,-636.0,0.013,48049.0
2018,NJ,New Jersey,609.0,0.0,0.013,47371.3
2019,NJ,New Jersey,463.0,-146.0,0.01,47141.0
2020,NJ,New Jersey,463.0,0.0,0.01,47633.3
2021,NJ,New Jersey,463.0,0.0,0.01,47777.0
1990,NM,New Mexico,3899.0,,0.383,10177.0
1991,NM,New Mexico,3901.0,2.0,0.384,10169.0
1992,NM,New Mexico,3901.0,0.0,0.382,10217.0
1993,NM,New Mexico,3901.0,0.0,0.379,10301.0
1994,NM,New Mexico,3901.0,0.0,0.381,10246.0
1995,NM,New Mexico,3901.0,0.0,0.371,10520.0
1996,NM,New Mexico,3901.0,0.0,0.367,10628.0
1997,NM,New Mexico,3901.0,0.0,0.36,10841.0
1998,NM,New Mexico,3913.0,12.0,0.354,11062.0
1999,NM,New Mexico,3942.0,29.0,0.356,11077.0
2000,NM,New Mexico,3942.0,0.0,0.352,11199.0
2001,NM,New Mexico,3942.0,0.0,0.348,11318.0
2002,NM,New Mexico,3942.0,0.0,0.332,11864.0
2003,NM,New Mexico,3942.0,0.0,0.313,12576.0
2004,NM,New Mexico,3937.0,-5.0,0.313,12568.0
2005,NM,New Mexico,3957.0,20.0,0.305,12960.0
2006,NM,New Mexico,3957.0,0.0,0.279,14204.0
2007,NM,New Mexico,3957.0,0.0,0.275,14403.0
2008,NM,New Mexico,3956.9,-0.1,0.205,19308.1
2009,NM,New Mexico,3976.9,20.0,0.206,19317.6
2010,NM,New Mexico,3990.0,13.1,0.203,19612.5
2011,NM,New Mexico,3990.0,0.0,0.2,19932.8
2012,NM,New Mexico,4031.0,41.0,0.199,20220.0
2013,NM,New Mexico,3471.0,-560.0,0.178,19471.7
2014,NM,New Mexico,3471.0,0.0,0.175,19843.4
2015,NM,New Mexico,3471.0,0.0,0.169,20589.1
2016,NM,New Mexico,3471.0,0.0,0.167,20837.8
2017,NM,New Mexico,2634.0,-837.0,0.128,20544.3
2018,NM,New Mexico,2640.0,6.0,0.127,20735.9
2019,NM,New Mexico,2640.0,0.0,0.123,21534.4
2020,NM,New Mexico,2387.0,-253.0,0.107,22249.9
2021,NM,New Mexico,2387.0,0.0,0.093,25665.6
2022,NM,New Mexico,1540.0,-847.0,0.063,24624.5
2023,NM,New Mexico,1540.0,0.0,0.059,25889.4
2024,NM,New Mexico,1540.0,0.0,0.052,29337.8
1990,NV,Nevada,2692.0,,0.264,10197.0
1991,NV,Nevada,2692.0,0.0,0.251,10735.0
1992,NV,Nevada,2717.0,25.0,0.238,11432.0
1993,NV,Nevada,2717.0,0.0,0.237,11482.0
1994,NV,Nevada,2717.0,0.0,0.218,12436.0
1995,NV,Nevada,2717.0,0.0,0.215,12610.0
1996,NV,Nevada,2807.0,90.0,0.22,12783.0
1997,NV,Nevada,2806.0,-1.0,0.22,12781.0
1998,NV,Nevada,2806.0,0.0,0.22,12778.0
1999,NV,Nevada,2806.0,0.0,0.208,13494.0
2000,NV,Nevada,2806.0,0.0,0.209,13432.0
2001,NV,Nevada,2747.0,-59.0,0.2,13766.0
2002,NV,Nevada,2658.0,-89.0,0.194,13688.0
2003,NV,Nevada,2657.0,-1.0,0.177,15016.0
2004,NV,Nevada,2657.0,0.0,0.153,17340.0
2005,NV,Nevada,2657.0,0.0,0.152,17427.0
2006,NV,Nevada,2657.0,0.0,0.138,19296.0
2007,NV,Nevada,2689.0,32.0,0.135,19909.0
2008,NV,Nevada,2915.8,226.8,0.098,29709.6
2009,NV,Nevada,2915.8,0.0,0.097,29916.0
2010,NV,Nevada,2873.4,-42.4,0.096,30013.2
2011,NV,Nevada,2873.4,0.0,0.094,30695.9
2012,NV,Nevada,1293.4,-1580.0,0.045,28545.0
2013,NV,Nevada,1295.4,2.0,0.045,29054.0
2014,NV,Nevada,997.4,-298.0,0.035,28839.8
2015,NV,Nevada,997.4,0.0,0.033,29972.4
2016,NV,Nevada,997.4,0.0,0.03,32738.7
2017,NV,Nevada,740.4,-257.0,0.023,31655.5
2018,NV,Nevada,740.4,0.0,0.023,31968.4
2019,NV,Nevada,740.4,0.0,0.022,33287.9
2020,NV,Nevada,740.4,0.0,0.022,33779.5
2021,NV,Nevada,740.4,0.0,0.021,35911.2
2022,NV,Nevada,740.4,0.0,0.02,37834.9
2023,NV,Nevada,740.4,0.0,0.018,40446.5
2024,NV,Nevada,740.4,0.0,0.016,46445.9
1990,NY,New York,4151.0,,0.064,64411.0
1991,NY,New York,4275.0,124.0,0.065,65807.0
1992,NY,New York,4254.0,-21.0,0.065,65131.0
1993,NY,New York,4275.0,21.0,0.061,70381.0
1994,NY,New York,4251.0,-24.0,0.058,72980.0
1995,NY,New York,4266.0,15.0,0.057,74959.0
1996,NY,New York,4287.0,21.0,0.06,71429.0
1997,NY,New York,4252.0,-35.0,0.06,71161.0
1998,NY,New York,4286.0,34.0,0.061,69965.0
1999,NY,New York,3606.0,-680.0,0.053,67457.0
2000,NY,New York,3935.0,329.0,0.055,71232.0
2001,NY,New York,4113.0,178.0,0.058,71301.0
2002,NY,New York,4084.0,-29.0,0.057,71930.0
2003,NY,New York,4095.0,11.0,0.056,73126.0
2004,NY,New York,4063.0,-32.0,0.054,75398.0
2005,NY,New York,4218.0,155.0,0.054,78244.0
2006,NY,New York,4014.0,-204.0,0.051,79101.0
2007,NY,New York,3570.0,-444.0,0.046,78244.0
2008,NY,New York,2899.4,-670.6,0.029,101266.7
2009,NY,New York,2804.4,-95.0,0.027,103559.2
2010,NY,New York,2825.6,21.2,0.028,102464.6
2011,NY,New York,2813.1,-12.5,0.027,103258.9
2012,NY,New York,2703.7,-109.4,0.026,102759.8
2013,NY,New York,2507.3,-196.4,0.024,103803.3
2014,NY,New York,2498.9,-8.4,0.024,104860.9
2015,NY,New York,2129.6,-369.3,0.02,104759.0
2016,NY,New York,1747.4,-382.2,0.017,104735.8
2017,NY,New York,1640.2,-107.2,0.016,104818.5
2018,NY,New York,1631.5,-8.7,0.015,107832.7
2019,NY,New York,1336.5,-295.0,0.012,108035.2
2020,NY,New York,520.0,-816.5,0.005,107490.2
2021,NY,New York,445.0,-75.0,0.004,107176.0
1990,OH,Ohio,21925.0,,0.427,51385.0
1991,OH,Ohio,23502.0,1577.0,0.431,54526.0
1992,OH,Ohio,22708.0,-794.0,0.425,53442.0
1993,OH,Ohio,22708.0,0.0,0.425,53442.0
1994,OH,Ohio,22857.0,149.0,0.425,53726.0
1995,OH,Ohio,23321.0,464.0,0.421,55385.0
1996,OH,Ohio,23232.0,-89.0,0.421,55228.0
1997,OH,Ohio,22613.0,-619.0,0.42,53904.0
1998,OH,Ohio,22655.0,42.0,0.418,54182.0
1999,OH,Ohio,22819.0,164.0,0.417,54786.0
2000,OH,Ohio,22733.0,-86.0,0.399,57002.0
2001,OH,Ohio,22774.0,41.0,0.385,59107.0
2002,OH,Ohio,22635.0,-139.0,0.36,62828.0
2003,OH,Ohio,22352.0,-283.0,0.33,67825.0
2004,OH,Ohio,22412.0,60.0,0.329,68159.0
2005,OH,Ohio,22313.0,-99.0,0.329,67741.0
2006,OH,Ohio,22264.0,-49.0,0.329,67755.0
2007,OH,Ohio,22074.0,-190.0,0.327,67510.0
2008,OH,Ohio,21814.9,-259.1,0.286,76223.9
2009,OH,Ohio,21857.5,42.6,0.286,76309.0
2010,OH,Ohio,21360.1,-497.4,0.283,75376.6
2011,OH,Ohio,21250.7,-109.4,0.28,75856.6
2012,OH,Ohio,19267.5,-1983.2,0.253,76234.6
2013,OH,Ohio,18894.8,-372.7,0.25,75507.7
2014,OH,Ohio,18084.0,-810.8,0.246,73381.5
2015,OH,Ohio,15259.9,-2824.1,0.225,67852.9
2016,OH,Ohio,15181.6,-78.3,0.223,68138.7
2017,OH,Ohio,14605.4,-576.2,0.202,72188.0
2018,OH,Ohio,12246.0,-2359.4,0.17,71854.6
2019,OH,Ohio,11496.0,-750.0,0.163,70589.7
2020,OH,Ohio,10000.5,-1495.5,0.148,67655.5
2021,OH,Ohio,10011.5,11.0,0.135,74160.1
2022,OH,Ohio,8097.5,-1914.0,0.115,70530.8
2023,OH,Ohio,6607.5,-1490.0,0.086,77041.9
2024,OH,Ohio,6620.5,13.0,0.082,81231.4
1990,OK,Oklahoma,5284.0,,0.202,26143.0
1991,OK,Oklahoma,5299.0,15.0,0.202,26188.0
1992,OK,Oklahoma,5308.0,9.0,0.202,26281.0
1993,OK,Oklahoma,5308.0,0.0,0.202,26266.0
1994,OK,Oklahoma,5302.0,-6.0,0.199,26661.0
1995,OK,Oklahoma,5265.0,-37.0,0.192,27420.0
1996,OK,Oklahoma,5282.0,17.0,0.191,27727.0
1997,OK,Oklahoma,5282.0,0.0,0.193,27406.0
1998,OK,Oklahoma,5271.0,-11.0,0.197,26778.0
1999,OK,Oklahoma,5242.0,-29.0,0.192,27256.0
2000,OK,Oklahoma,5290.0,48.0,0.186,28410.0
2001,OK,Oklahoma,5247.0,-43.0,0.182,28894.0
2002,OK,Oklahoma,5287.0,40.0,0.163,32454.0
2003,OK,Oklahoma,5332.0,45.0,0.146,36478.0
2004,OK,Oklahoma,5340.0,8.0,0.138,38794.0
2005,OK,Oklahoma,5355.0,15.0,0.135,39547.0
2006,OK,Oklahoma,5372.0,17.0,0.134,40170.0
2007,OK,Oklahoma,5364.0,-8.0,0.134,39924.0
2008,OK,Oklahoma,5301.6,-62.4,0.099,53579.6
2009,OK,Oklahoma,5329.9,28.3,0.097,54893.7
2010,OK,Oklahoma,5329.8,-0.1,0.097,55063.1
2011,OK,Oklahoma,5306.5,-23.3,0.093,57161.6
2012,OK,Oklahoma,5294.4,-12.1,0.087,60836.4
2013,OK,Oklahoma,5305.1,10.7,0.088,60259.2
2014,OK,Oklahoma,5257.3,-47.8,0.085,61908.4
2015,OK,Oklahoma,5326.5,69.2,0.085,62981.6
2016,OK,Oklahoma,4865.8,-460.7,0.074,65344.0
2017,OK,Oklahoma,4334.6,-531.2,0.064,67644.9
2018,OK,Oklahoma,4303.5,-31.1,0.063,68631.0
2019,OK,Oklahoma,3246.0,-1057.5,0.047,69514.3
2020,OK,Oklahoma,3255.0,9.0,0.045,72202.0
2021,OK,Oklahoma,3247.0,-8.0,0.044,74627.8
2022,OK,Oklahoma,3244.5,-2.5,0.04,81831.5
2023,OK,Oklahoma,3272.5,28.0,0.042,78366.9
2024,OK,Oklahoma,3258.9,-13.6,0.041,78552.6
1990,OR,Oregon,543.0,,0.024,23079.0
1991,OR,Oregon,543.0,0.0,0.024,23069.0
